route,year,phase,model,states,events,signal_dates,weighted_mse,weighted_bias,mean_predicted,mean_realized,top_mean_predicted,top_mean_realized,top_events,top_signal_dates,top_tail,domain_out_fraction,n_features,not_applicable_columns,unexpected_missing_fraction,b0_mse,mse_improvement_over_b0
MCB,2016,DISCOVERY_FORWARD,B1_NO_VOLUME,995,72,10,0.00503608456220576,-0.013431237109879597,-0.05091170772303316,-0.037480470613153564,-0.01968840263855034,-0.012054149731609003,58,10,-0.07910906131748807,0.014756944444444444,10,,0.21608040201005024,0.004897607868111738,-0.00013847669409402207
MCB,2016,DISCOVERY_FORWARD,B1_PRICE_AUGMENT_ONLY,995,72,10,0.005058354246781719,-0.013092999874406444,-0.050573470487560016,-0.037480470613153564,-0.019874658807787243,-0.013506487465939519,61,10,-0.08471744828962767,0.014756944444444444,8,,0.21608040201005024,0.004897607868111738,-0.00016074637866998146
MCB,2017,DISCOVERY_FORWARD,B0,1213,83,11,0.0029002409544819007,-0.013243007824103521,-0.04425842935328972,-0.031015421529186196,-0.01294744867134703,-0.0017371838404132115,71,11,-0.05233530725375791,0.03134847080630213,6,,0.013190436933223413,0.0029002409544819007,0.0
MCB,2017,DISCOVERY_FORWARD,B1,1213,83,11,0.0029262647496975593,-0.013779148405953276,-0.04479456993513947,-0.031015421529186196,-0.012958171905159663,-0.0032373251230039756,72,11,-0.06349556936844937,0.034468092148815035,11,,0.21434460016488047,0.0029002409544819007,-2.602379521565853e-05
MCB,2017,DISCOVERY_FORWARD,B2_PRICE,1213,83,11,0.003176806043060979,-0.016240052858909223,-0.04725547438809542,-0.031015421529186196,-0.010798848535824515,0.00030955797910571417,69,11,-0.03770529482024939,0.03134847080630213,6,,0.013190436933223413,0.0029002409544819007,-0.0002765650885790784
MCB,2017,DISCOVERY_FORWARD,B2_EXTENDED,1213,83,11,0.003176806043060973,-0.01624005285890909,-0.047255474388095284,-0.031015421529186196,-0.010798848535824518,0.00030955797910571417,69,11,-0.03770529482024939,0.034468092148815035,11,,0.21434460016488047,0.0029002409544819007,-0.00027656508857907235
MCB,2017,DISCOVERY_FORWARD,B1_NO_STRUCTURE,1213,83,11,0.002899466265526642,-0.01374880403161809,-0.04476422556080429,-0.031015421529186196,-0.013254953452609537,-0.002863302880317755,70,11,-0.06349556936844937,0.03371508010062227,9,,0.21434460016488047,0.0029002409544819007,7.746889552585554e-07
MCB,2017,DISCOVERY_FORWARD,B1_NO_VOLUME,1213,83,11,0.002927619844511979,-0.013680208364880849,-0.04469562989406704,-0.031015421529186196,-0.013099147575245825,-0.0027642701365379794,70,10,-0.06349556936844937,0.032101482854494906,10,,0.21434460016488047,0.0029002409544819007,-2.737889003007806e-05
MCB,2017,DISCOVERY_FORWARD,B1_PRICE_AUGMENT_ONLY,1213,83,11,0.0029016992977998575,-0.013660732625425212,-0.04467615415461141,-0.031015421529186196,-0.013369377196975327,-0.002991858962634278,71,11,-0.06349556936844937,0.03134847080630213,8,,0.21434460016488047,0.0029002409544819007,-1.4583433179567173e-06
MCB,2018,DISCOVERY_FORWARD,B0,1021,70,10,0.004823980292898752,-0.02117748372026042,-0.04624774879151006,-0.025070265071249636,-0.015528073394035903,-0.0020058638213654714,59,10,-0.05705911663788848,0.0008928571428571428,6,,0.00881488736532811,0.004823980292898752,0.0
MCB,2018,DISCOVERY_FORWARD,B1,1021,70,10,0.004845016985387629,-0.021036073251057073,-0.04610633832230671,-0.025070265071249636,-0.014851656889527476,-0.0039607380930854405,57,10,-0.05892186454767207,0.0017857142857142857,11,,0.20861900097943192,0.004823980292898752,-2.1036692488876456e-05
MCB,2018,DISCOVERY_FORWARD,B2_PRICE,1021,70,10,0.004777594281757671,-0.01668858130876399,-0.04175884638001363,-0.025070265071249636,-0.012121291283610587,-0.005966218113439729,61,10,-0.07329226340871559,0.0008928571428571428,6,,0.00881488736532811,0.004823980292898752,4.6386011141081804e-05
