year,state,capital_days,state_family,gap,mcb_mode,target,mechanic
2025,BULL,5316219216.182825,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2025,TRANSITION,7044988383.105068,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2026,BEAR,6091457573.394188,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2026,BULL,2169519380.319715,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2026,TRANSITION,5566622159.388296,market_regime,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2018,MAJORITY_POSITIVE_20D,526322147.97667354,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2018,MINORITY_POSITIVE_20D,1015093624.6637244,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2019,MAJORITY_POSITIVE_20D,969628931.8131664,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2019,MINORITY_POSITIVE_20D,971204939.1910064,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2020,MAJORITY_POSITIVE_20D,1729485470.8394036,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2020,MINORITY_POSITIVE_20D,1484422131.8943586,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2021,MAJORITY_POSITIVE_20D,2777369289.85901,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2021,MINORITY_POSITIVE_20D,1883810577.2896173,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2022,MAJORITY_POSITIVE_20D,4081460614.648592,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2022,MINORITY_POSITIVE_20D,5347073326.576109,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2023,MAJORITY_POSITIVE_20D,5382277591.521332,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2023,MINORITY_POSITIVE_20D,5540964174.2099495,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2024,MAJORITY_POSITIVE_20D,5247494615.196751,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2024,MINORITY_POSITIVE_20D,6069235834.722753,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2025,MAJORITY_POSITIVE_20D,9038256476.536938,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2025,MINORITY_POSITIVE_20D,7147439580.754517,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2026,MAJORITY_POSITIVE_20D,6189736960.546172,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2026,MINORITY_POSITIVE_20D,7637862152.556027,breadth_bucket,OGR,independent,G100,FULL_BOOK_NORMALIZATION
2018,BEAR,84372740.04852827,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2018,BULL,6125960.025746764,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2018,TRANSITION,116467889.61079209,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2019,BEAR,23916842.967452165,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2019,BULL,91414014.06376737,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2019,TRANSITION,96689763.34919968,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2020,BEAR,70689627.81546435,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2020,BULL,218670544.79971457,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2020,TRANSITION,37985325.578721136,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2021,BEAR,52169639.73113346,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2021,BULL,97618395.86531928,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2021,TRANSITION,87798948.24201334,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2022,BEAR,74919593.09319338,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2022,BULL,34554753.27299572,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2022,TRANSITION,191076143.815601,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2023,BEAR,41255247.814082175,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2023,BULL,196052804.68800923,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2023,TRANSITION,79389169.45516776,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2024,BEAR,133105849.21765631,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2024,BULL,194700921.27066883,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2024,TRANSITION,138516817.50966823,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
2025,BEAR,74883782.18697198,market_regime,OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION
