gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,IFCGR,88062.71047306297,60672.246387089544,27390.464085973425
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,IFCGR,1380.4678606585624,31.139446682386733,1349.3284139761756
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,IFCGR,19894.17339064821,26757.386005628392,-6863.212614980179
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-138848.58763790777,2011.429013228053,-140860.0166511358
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,156984.84728851815,5719.454560632315,151265.39272788586
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,IFCGR,440165.1793430488,7990.459218186068,432174.7201248627
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,IFCGR,-110506.12354542097,1148.2655133563076,-111654.38905877726
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,IFCGR,-311522.79614701745,-1407.8411576820072,-310114.9549893354
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,268995.3612545385,1852.6389490154415,267142.72230552306
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,384904.1365313755,2350.301995036237,382553.83453633933
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,IFCGR,345596.6825471138,338.70598669144414,345257.9765604224
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,IFCGR,43146.271181303826,1252.1177956503798,41894.15338565345
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,IFCGR,265156.5440574964,2612.1171617098544,262544.42689578654
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,4046.7068612843027,-120.69190868176884,4167.3987699660665
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,1546342.0123935908,5903.303694511254,1540438.7086990797
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,IFCGR,1142472.027950541,4222.7368891067845,1138249.2910614344
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,IFCGR,-30907.066528603376,-1366.5178444203793,-29540.548684183
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,IFCGR,438823.75783293747,2926.3927411430805,435897.36509179435
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,52153.551382454425,6360.290145444125,45793.2612370103
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-252778.65899675933,10547.583122413609,-263326.24211917305
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,IFCGR,-307091.9234165031,10523.581056509265,-317615.50447301264
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,IFCGR,7448.8679429180065,489.0114173531738,6959.856525564834
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,IFCGR,99017.9478592802,5895.2807939952945,93122.66706528491
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,29144.27168664585,-217.15582256690027,29361.427509212754
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,108141.50754021636,1305.504646223767,106836.00289399264
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,IFCGR,107138.27152552044,808.0477272316775,106330.22379828879
