gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,8215.364429992449,8990.903442342937,-775.5390123504867,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MAJORITY_POSITIVE_20D,ATRDR,BULL,-20305.359951953367,233200.35320711645,-253505.7131590698,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,18508.552068737423,11859.42160398401,6649.130464753412,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,7553.16066797488,15303.221660115829,-7750.060992140949,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,-19587.629186470687,-299.7343664000646,-19287.89482007062,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MAJORITY_POSITIVE_20D,MCB,MCB,5403.596629213544,23467.513634033254,-18063.917004819712,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,191400.09543715123,191213.34321809124,186.75221905999206,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,ATRDR,BULL,-58280.71776037183,-6469.316894642077,-51811.40086572975,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,145692.7838717183,79221.25637002086,66471.52750169745,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,36429.475215608036,18539.27565440649,17890.19956120154,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,383646.60330283345,7043.715452151743,376602.8878506817,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,247510.53695996662,192965.3424236401,54545.194536326526,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MAJORITY_POSITIVE_20D,ATRDR,BULL,59118.69014395721,273635.79848815745,-214517.10834420024,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,-3321.488803270282,-3990.0491533741733,668.5603501038911,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,1207.7512096753344,22837.403276433863,-21629.65206675853,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,7990.842821017348,3965.7836989649877,4025.0591220523597,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MAJORITY_POSITIVE_20D,MCB,MCB,-1184.4182785148078,11493.446945709944,-12677.865224224752,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,272021.108462057,269656.21909394435,2364.8893681126283,breadth_bucket
