route,capital,state_definition,state,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D07,C_MAX,S0_CURRENT,BULL,5182,400,22,0.5914704747201852,3064,-0.004685735511785139,-0.001567444357828153,-763847.2858032003,0.42428198433420367,0.916363934224159,-0.12076963995341364,0.07229804177347765,-0.05741678465025401,10.005548302872063,5182,365,-282281.97097329993,16,0
D07,C_MAX,S0_CURRENT,TRANSITION,3692,273,33,0.6367822318526544,2342,-0.006007303881252488,0.005519588798973996,1169345.4246268999,0.466268146883006,1.1808409268017472,-0.11337394550329842,0.07664575696434354,-0.056680865690937346,10.008966695132365,3692,212,-124494.41153420022,19,0
D07,C_MAX,S1,HIGH_IMPROVING,2509,182,51,0.6038262255878836,1515,-0.011135441009660754,-0.0059492233566934855,-947295.8928564002,0.41122112211221123,0.8038624722100726,-0.12562282671577799,0.07180313159639286,-0.05899113979271226,10.011881188118812,2509,171,-330892.5100916,1,0
D07,C_MAX,S1,HIGH_NONIMPROVING,3820,196,50,0.6319371727748692,2412,0.0017827949424854502,0.011999159937205796,2580374.8184244,0.48175787728026537,1.4738813380735358,-0.09814246931185663,0.07547636275609153,-0.04920254582757256,10.005389718076286,3820,174,-41549.87130139998,6,0
D07,C_MAX,S1,LOW_IMPROVING,2033,220,45,0.6099360550909986,1233,-0.009634230700982111,-0.009864977376769246,-1255558.422004,0.4420113544201135,0.7373015090963713,-0.15730474313119364,0.07512303240131948,-0.07040067929331116,10.008921330089214,2033,193,-99417.58349650007,45,0
D07,C_MAX,S1,LOW_NONIMPROVING,2479,264,52,0.5849132714804357,1444,-0.006057134714605418,-0.0040480152709750595,-577628.3999420004,0.43351800554016623,0.8798689615965456,-0.12980398924160977,0.0787164589909814,-0.06589209723931728,10.010387811634349,2479,221,-19815.01002360019,15,2479
D08,C_MAX,S0,BEAR,54,40,7,0.42592592592592593,23,-0.018356664716471766,-0.020938531049760536,-47591.37795040004,0.2608695652173913,0.3687200764351668,-0.08515823417112288,0.054398562813684194,-0.06573179290075101,10.0,54,21,-54179.432559200126,7,0
D08,C_MAX,S0,BULL,1089,278,15,0.5711662075298439,622,0.007797258680043278,0.006767981376104492,367147.4371131999,0.477491961414791,1.220095928912946,-0.1173713082624741,0.08202407141908868,-0.05748711125428737,10.0016077170418,1089,234,-200194.96395550013,73,0
D08,C_MAX,S0,TRANSITION,307,132,24,0.5700325732899023,174,0.0033966743701506715,0.00556178582793429,100123.03802520008,0.45977011494252873,1.207368320561398,-0.12333192912198951,0.07994392718477536,-0.05663756427266137,10.022988505747126,307,99,-175078.38313090007,62,0
D08,C_MAX,S0_CURRENT,BEAR,52,42,9,0.4230769230769231,22,-0.013857155923611603,-0.017751731399819323,-38681.407790400044,0.22727272727272727,0.4917652823077627,-0.08592569339072208,0.06418280244310041,-0.06506100146924783,10.0,52,22,-26009.256519200135,6,0
D08,C_MAX,S0_CURRENT,BULL,1107,284,17,0.5700090334236676,630,0.007714399700786857,0.006948153557198732,384275.71418320003,0.4793650793650794,1.2279405421063805,-0.1175297464648961,0.08218858589165272,-0.05757281389820853,10.007936507936508,1107,237,-213699.32947950024,73,0
D08,C_MAX,S0_CURRENT,TRANSITION,291,124,23,0.5738831615120275,167,0.0023487309084123035,0.004245810093496369,74084.79079520001,0.4550898203592814,1.1595377239739717,-0.11758632253639918,0.07778174809610416,-0.056416382228336955,10.0,291,95,-189744.19364690006,63,0
D08,C_MAX,S1,HIGH_IMPROVING,666,144,42,0.6081081081081081,405,0.0016918125628128517,0.0036535892884087327,120697.69912340002,0.47160493827160493,1.1122574132317773,-0.11103051998158722,0.07835602920102916,-0.05720613346425373,10.012345679012345,666,127,-14994.77921550013,49,0
