decision_at,ATRDR Bull,ATRDR Fast Bear,ATRDR Slow Bear,IFCGR,MCB,OGR,SMV6
2024-04-02 15:00:00,10,0,0,0,5,0,0
2024-04-03 15:00:00,3,0,0,0,0,0,0
2024-04-11 15:00:00,0,0,1,0,0,0,0
2024-04-22 15:00:00,0,0,1,0,0,0,0
2024-04-24 15:00:00,0,0,11,0,0,0,0
2024-04-25 15:00:00,0,3,0,0,0,0,0
2024-04-26 15:00:00,0,0,20,0,0,0,0
2024-04-29 15:00:00,0,0,20,0,0,3,0
2024-05-06 15:00:00,0,0,11,0,0,0,0
2024-05-16 15:00:00,3,0,0,0,0,0,0
2024-05-17 15:00:00,9,0,0,0,12,0,0
2024-05-20 15:00:00,2,0,0,0,5,0,0
2024-05-21 15:00:00,2,0,0,0,3,0,0
2024-05-22 15:00:00,1,0,0,0,2,0,0
2024-06-12 15:00:00,0,0,0,0,0,3,0
2024-06-18 15:00:00,0,0,10,0,0,0,0
2024-06-19 15:00:00,0,0,2,0,0,0,0
2024-06-26 15:00:00,0,0,0,0,0,1,0
2024-07-02 15:00:00,0,0,7,0,0,0,0
2024-07-09 15:00:00,0,0,1,0,0,0,0
2024-07-10 15:00:00,0,0,0,0,0,1,0
2024-07-11 15:00:00,0,0,0,0,0,1,0
2024-07-18 15:00:00,0,0,1,0,0,0,0
2024-07-19 15:00:00,0,0,1,0,0,0,0
2024-07-31 15:00:00,0,0,0,0,0,1,0
2024-08-01 15:00:00,3,0,0,0,0,0,0
2024-09-24 15:00:00,19,0,0,0,16,0,0
2024-09-25 15:00:00,10,0,0,0,6,0,0
2024-09-26 15:00:00,20,0,0,0,20,0,0
2024-09-27 15:00:00,363,0,0,0,223,0,0
2024-09-30 15:00:00,14,0,0,0,0,0,0
2024-11-11 15:00:00,12,0,0,0,12,0,0
2024-11-12 15:00:00,3,0,0,0,0,0,0
2024-11-29 15:00:00,3,0,0,0,0,0,0
2024-12-02 15:00:00,1,0,0,0,0,0,0
2024-12-12 15:00:00,4,0,0,0,4,0,0
2024-12-16 15:00:00,2,0,0,0,0,0,0
2025-01-08 15:00:00,0,0,0,0,0,1,0
2025-01-14 15:00:00,0,20,0,0,0,1,0
2025-01-16 15:00:00,0,0,0,0,0,1,0
2025-01-21 15:00:00,0,0,6,0,0,0,0
2025-02-06 15:00:00,0,0,2,0,0,0,0
2025-02-07 15:00:00,7,0,0,0,0,0,0
2025-02-10 15:00:00,20,0,0,0,0,0,0
2025-02-11 15:00:00,15,0,0,0,0,0,0
2025-02-12 15:00:00,10,0,0,0,0,0,0
2025-02-13 15:00:00,2,0,0,0,0,0,0
2025-02-27 15:00:00,5,0,0,0,4,0,0
