symbol,trade_date,max_abs_ohlc_error,volume_relative_error,amount_relative_error
600054.SH,2026-09-15,0.0,0.0,0.0
600054.SH,2026-09-16,0.0,7.739511422018341e-06,3.831346330249494e-09
600055.SH,2026-09-07,0.0,0.0,0.0
600055.SH,2026-09-08,0.0,0.0,2.18331126829872e-16
600055.SH,2026-09-09,0.0,0.0,1.2231275180138533e-09
600055.SH,2026-09-10,0.0,1.4099420654805295e-06,3.1581127450740187e-09
600055.SH,2026-09-11,0.0,6.235435298572482e-06,3.6912156790214315e-09
600055.SH,2026-09-14,0.0,5.9517078425654245e-06,1.0513027252316098e-08
600055.SH,2026-09-15,0.0,0.0,1.3591140186715273e-08
600055.SH,2026-09-16,0.0,0.0,0.0
600056.SH,2026-09-07,0.0,6.189942086901835e-07,6.324624157950613e-09
600056.SH,2026-09-08,0.0,3.2324207491242834e-06,2.557819770646319e-09
600056.SH,2026-09-09,0.0,2.75859025003862e-06,0.0
600056.SH,2026-09-10,0.0,5.468667542747207e-07,9.695103446625284e-10
600056.SH,2026-09-11,0.0,9.070377878291674e-08,1.7313580252192507e-09
600056.SH,2026-09-14,0.0,1.5536176764404756e-06,1.597217304634881e-08
600056.SH,2026-09-15,0.0,3.2210258258629694e-07,7.240498734051683e-10
600056.SH,2026-09-16,0.0,3.3096801525100615e-06,7.479340546950712e-09
600057.SH,2026-09-07,0.0,4.5899741653304103e-07,8.79955185917119e-10
600057.SH,2026-09-08,0.0,1.5111699691549366e-06,2.778528564969517e-09
600057.SH,2026-09-09,0.0,1.8506232436428777e-06,0.0
600057.SH,2026-09-10,0.0,0.0,2.6554358841236942e-09
600057.SH,2026-09-11,0.0,2.555421339148109e-07,8.979590855886053e-11
600057.SH,2026-09-14,0.0,3.438315417990848e-07,1.006865625446469e-09
600057.SH,2026-09-15,0.0,3.6221844307646614e-06,1.191405372829888e-09
600057.SH,2026-09-16,0.0,1.079219810414655e-06,7.422720824465832e-10
600058.SH,2026-09-07,0.0,0.0,2.1952017444183276e-08
600058.SH,2026-09-08,0.0,5.530180534870553e-06,5.24010374344628e-09
600058.SH,2026-09-09,0.0,0.0,0.0
600058.SH,2026-09-10,0.0,0.0,0.0
600058.SH,2026-09-11,0.0,0.0,0.0
600058.SH,2026-09-14,0.0,0.0,0.0
600058.SH,2026-09-15,0.0,0.0,1.3407773845799992e-16
600058.SH,2026-09-16,0.0,1.5423765647603046e-07,1.6973609435856812e-09
600059.SH,2026-09-07,0.0,7.206321334944082e-07,1.71875137945892e-11
600059.SH,2026-09-08,0.0,8.614323595773727e-07,6.072362673073392e-10
600059.SH,2026-09-09,0.0,3.7136763209009313e-07,2.2592675174791102e-10
600059.SH,2026-09-10,0.0,3.7594256062475365e-07,1.3273111734820239e-10
600059.SH,2026-09-11,0.0,1.517934625287971e-07,4.878338600310726e-10
600059.SH,2026-09-14,0.0,1.8105510118867848e-06,6.485895310847946e-10
600059.SH,2026-09-15,0.0,4.843715536688745e-07,8.639063309660442e-10
600059.SH,2026-09-16,0.0,4.146303994984631e-07,2.738967566521856e-10
600060.SH,2026-09-07,0.0,4.7547974717790884e-07,4.033554936755609e-09
600060.SH,2026-09-08,0.0,0.0,0.0
600060.SH,2026-09-09,0.0,0.0,3.828125609350766e-09
600060.SH,2026-09-10,0.0,8.267727570713774e-06,2.4844119913575987e-09
600060.SH,2026-09-11,0.0,2.458309435729107e-06,4.776612750736662e-10
