variant,slice_type,slice,completed_trades,mean_net_return,profit_factor,win_rate,return_p05,mean_mae,delta_mean_net_return_vs_p0,delta_profit_factor_vs_p0,top_five_winner_profit_share
P4_CHIP_SIZING,chronological_split,discovery,44,3.878783393373745e-05,1.0022849085301406,0.38636363636363635,-0.052399486885541004,-0.025534111055287953,-0.0060659078030002546,-0.26375982484016514,0.6286194073332139
P4_CHIP_SIZING,chronological_split,validation,63,0.014983300702633076,1.6878326904014314,0.4444444444444444,-0.07341678150254567,-0.031271005103477315,0.0008391149766948137,0.19164865466791148,0.4301784634007244
P4_CHIP_SIZING,chronological_split,holdout,90,-0.012847321740786623,0.5770527958400793,0.2111111111111111,-0.06696282907001216,-0.03649305488123049,0.0009459398627638081,-0.026333792601363593,0.6371821885454589
P4_CHIP_SIZING,symbol_subset,HASH_BUCKET_A,98,0.0044625941362461,1.1890206755877868,0.35714285714285715,-0.06609130403508974,-0.03198405659395147,0.004870807630539106,0.2022612530019564,0.4960046329062493
P4_CHIP_SIZING,symbol_subset,HASH_BUCKET_B,99,-0.006544834071352983,0.7448467587352314,0.29292929292929293,-0.07341211863806564,-0.03276274344500243,-0.011180254541103092,-0.4194953771591303,0.4304496384953288
P4_CHIP_SIZING,holdout_calendar_subperiod,SEP_OCT,52,-0.01572855727010434,0.5263547718225002,0.1346153846153846,-0.06952623697840692,-0.03844685718069308,0.002200111783783782,0.022460844467390273,0.9805097175475287
P4_CHIP_SIZING,holdout_calendar_subperiod,NOV_DEC,38,-0.008904578384878167,0.6639867674520423,0.3157894736842105,-0.06429998466453926,-0.03381943068196586,0.0005209495070796454,-0.0533034488667633,0.6300441941861487
P4_CHIP_SIZING,pit_volatility_regime,LOW_VOL,119,-0.0033853744210105567,0.8554835334949671,0.3025210084033613,-0.0577702070202931,-0.029548160257901062,-0.007184871630865064,-0.3084504490908502,0.4837923199765701
P4_CHIP_SIZING,pit_volatility_regime,MID_VOL,51,0.021678806075521292,2.200827868218267,0.43137254901960786,-0.07313096142547182,-0.028728804155747464,0.00964725100477066,0.7335764530847497,0.47989280345443863
P4_CHIP_SIZING,pit_volatility_regime,HIGH_VOL,27,-0.0338282926467836,0.20212270952807632,0.2222222222222222,-0.09312985799514206,-0.051724039430708794,-0.02482352562151458,-0.5749701205322867,0.9941009152120927
P5_HEALTHY_HOLDING,chronological_split,discovery,44,0.005425163705114566,1.3179512643375113,0.36363636363636365,-0.052399486885541004,-0.025851975009515537,-0.000679531931819426,0.051906530967205544,0.6735723379421066
P5_HEALTHY_HOLDING,chronological_split,validation,63,0.020695103486354793,1.9500422498130823,0.4444444444444444,-0.07341678150254567,-0.031271005103477315,0.00655091776041653,0.4538582140795624,0.4239721066667345
P5_HEALTHY_HOLDING,chronological_split,holdout,90,-0.010248078163520812,0.6626225998907634,0.2111111111111111,-0.06696282907001216,-0.03649305488123049,0.003545183440029619,0.05923601144932056,0.6009258076908124
P5_HEALTHY_HOLDING,symbol_subset,HASH_BUCKET_A,98,0.008607205904491976,1.3639689858180926,0.3469387755102041,-0.06609130403508974,-0.032126771022380186,0.009015419398784981,0.3772095632322622,0.4753851579557543
P5_HEALTHY_HOLDING,symbol_subset,HASH_BUCKET_B,99,-0.002255903946380744,0.9120525902374731,0.29292929292929293,-0.07341211863806564,-0.03276274344500243,-0.006891324416130853,-0.25228954565688866,0.3877309679077404
P5_HEALTHY_HOLDING,holdout_calendar_subperiod,SEP_OCT,52,-0.015258933741712914,0.5404968790382247,0.1346153846153846,-0.06952623697840692,-0.03844685718069308,0.002669735312175207,0.03660295168311478,0.9580162490344879
P5_HEALTHY_HOLDING,holdout_calendar_subperiod,NOV_DEC,38,-0.0033911178986263564,0.872036559417151,0.3157894736842105,-0.06429998466453926,-0.03381943068196586,0.006034409993331456,0.15474634309834534,0.6058464596877821
P5_HEALTHY_HOLDING,pit_volatility_regime,LOW_VOL,119,-0.00029800643089525976,0.9872960489309791,0.29411764705882354,-0.0577702070202931,-0.0296656897871953,-0.004097503640749767,-0.17663793365483815,0.4451179999680376
