model,split,side,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
DISPOSITION,holdout,RESISTANCE,future_return_20,20,1844,1155,-0.0249459358571,-0.032530719598,-0.0174762207194
DISPOSITION,holdout,RESISTANCE,mfe_20,20,1844,1155,0.0905892119583,0.0836446298742,0.097687737395
DISPOSITION,holdout,RESISTANCE,mae_20,20,1844,1155,-0.101453961233,-0.106040327472,-0.0975258260569
DISPOSITION,holdout,RESISTANCE,cross_probability_20,20,1844,1155,0.27928468357,0.258854772212,0.299636105958
DISPOSITION,holdout,RESISTANCE,future_return_40,40,0,0,,,
DISPOSITION,holdout,RESISTANCE,mfe_40,40,0,0,,,
DISPOSITION,holdout,RESISTANCE,mae_40,40,0,0,,,
DISPOSITION,holdout,RESISTANCE,cross_probability_40,40,0,0,,,
DISPOSITION,holdout,SUPPORT,future_return_1,1,1014,666,-8.92479473856e-05,-0.00192808260715,0.00178059895026
DISPOSITION,holdout,SUPPORT,mfe_1,1,1014,666,0.0182121050585,0.0166444633387,0.01978266521
DISPOSITION,holdout,SUPPORT,mae_1,1,1014,666,-0.0200049964949,-0.0212072802756,-0.0187610893978
DISPOSITION,holdout,SUPPORT,cross_probability_1,1,1014,666,0.0364900614901,0.0257224188474,0.0490188402688
DISPOSITION,holdout,SUPPORT,future_return_3,3,1003,661,-0.00163672724722,-0.005291795756,0.00211047541695
DISPOSITION,holdout,SUPPORT,mfe_3,3,1003,661,0.034585068278,0.0317542547518,0.0375290480109
DISPOSITION,holdout,SUPPORT,mae_3,3,1003,661,-0.0351421173288,-0.0372836801377,-0.0330032434665
DISPOSITION,holdout,SUPPORT,cross_probability_3,3,1003,661,0.112715222246,0.0932425617751,0.132860564801
DISPOSITION,holdout,SUPPORT,future_return_5,5,997,659,-0.00201299895215,-0.00708917389499,0.00254897584701
DISPOSITION,holdout,SUPPORT,mfe_5,5,997,659,0.0464586709301,0.0429172030415,0.0502968490058
DISPOSITION,holdout,SUPPORT,mae_5,5,997,659,-0.0454712625062,-0.048545162007,-0.0427443999542
DISPOSITION,holdout,SUPPORT,cross_probability_5,5,997,659,0.178130645278,0.151635053111,0.203054682419
DISPOSITION,holdout,SUPPORT,future_return_10,10,957,641,0.0101196876154,0.00341666587663,0.0164509594773
DISPOSITION,holdout,SUPPORT,mfe_10,10,957,641,0.0756092236615,0.0682885570863,0.0829386576098
DISPOSITION,holdout,SUPPORT,mae_10,10,957,641,-0.0602680817133,-0.063835307367,-0.0566849987599
DISPOSITION,holdout,SUPPORT,cross_probability_10,10,957,641,0.292251690068,0.259567082683,0.326293551742
DISPOSITION,holdout,SUPPORT,future_return_20,20,868,602,-0.00373133053436,-0.0153793916405,0.00652274022075
DISPOSITION,holdout,SUPPORT,mfe_20,20,868,602,0.111732983987,0.101928972273,0.123793859519
DISPOSITION,holdout,SUPPORT,mae_20,20,868,602,-0.0904560481685,-0.096747391494,-0.0844209133542
DISPOSITION,holdout,SUPPORT,cross_probability_20,20,868,602,0.452491694352,0.415027685493,0.486562153931
DISPOSITION,holdout,SUPPORT,future_return_40,40,0,0,,,
DISPOSITION,holdout,SUPPORT,mfe_40,40,0,0,,,
DISPOSITION,holdout,SUPPORT,mae_40,40,0,0,,,
DISPOSITION,holdout,SUPPORT,cross_probability_40,40,0,0,,,
DISPOSITION,validation,RESISTANCE,future_return_1,1,2595,1293,0.00250179134337,0.000830398354541,0.00428185100566
DISPOSITION,validation,RESISTANCE,mfe_1,1,2595,1293,0.0270795784492,0.0257173651682,0.028581140108
DISPOSITION,validation,RESISTANCE,mae_1,1,2595,1293,-0.0197594646189,-0.0208073025058,-0.0186304444586
DISPOSITION,validation,RESISTANCE,cross_probability_1,1,2595,1293,0.0857695282289,0.0726163315287,0.098601443671
DISPOSITION,validation,RESISTANCE,future_return_3,3,2584,1290,0.00917715595689,0.00622943634961,0.012147735579
DISPOSITION,validation,RESISTANCE,mfe_3,3,2584,1290,0.0531254266672,0.05070522425,0.0560372914379
