model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_5,5,8,8,-0.0621365052152,-0.0828700008272,-0.038821763859
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_5,5,8,8,0.125,0,0.375
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_10,10,7,7,-0.0417226358047,-0.0989533707722,0.0209902341699
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_10,10,7,7,-0.0941996895383,-0.132065930896,-0.0490925211713
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_10,10,7,7,0.285714285714,0,0.571428571429
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_20,20,7,7,-0.0406806237984,-0.0959905264005,0.0182483306594
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_20,20,7,7,-0.12014764525,-0.15731094386,-0.0866284701059
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_20,20,7,7,0.428571428571,0.142857142857,0.857142857143
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,reaction_probability,3,90,90,0.388888888889,0.288888888889,0.478055555556
ACTIVE_STICKY,validation,REAL_CHIP,MATURING_AGE_6_19,close_favorable_probability,0,92,92,0.478260869565,0.369565217391,0.576086956522
