control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,212,207,-0.132850241546,-0.207729468599,-0.0675724637681
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,86,85,0,-0.0823529411765,0.0941176470588
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,62,59,0.0423728813559,-0.0171610169492,0.118644067797
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,261,252,-0.105158730159,-0.164732142857,-0.0357142857143
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,117,112,0.03125,-0.0268973214286,0.0938616071429
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,97,94,-0.0159574468085,-0.0691489361702,0.0373670212766
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,184,180,-0.136111111111,-0.205625,-0.0666666666667
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,65,64,0.046875,-0.046875,0.125
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,68,66,0.0151515151515,-0.0606060606061,0.0909090909091
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,277,266,-0.0996240601504,-0.163533834586,-0.0413533834586
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,117,112,0.0535714285714,-0.00904017857143,0.125
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,time_to_cross_1,1,CONTEXT_DEPENDENT,86,83,0.0240963855422,-0.0240963855422,0.0605421686747
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,212,207,0.123188405797,0.0531400966184,0.191002415459
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,86,85,-0.0117647058824,-0.129411764706,0.0823529411765
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,62,59,-0.0338983050847,-0.135593220339,0.0677966101695
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,261,252,0.0992063492063,0.0316964285714,0.162748015873
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,117,112,0.00892857142857,-0.0938616071429,0.0983258928571
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,97,94,-0.0212765957447,-0.0960106382979,0.063829787234
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,184,180,0.133333333333,0.0555555555556,0.202847222222
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,65,64,0.03125,-0.09375,0.15625
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,sessions_beyond_1,1,NEGATIVE_IS_CHIP_BETTER,68,66,-0.030303030303,-0.121212121212,0.0761363636364
