model,split,base_integrity,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,mae_5,5,30,28,-0.0516633035666,-0.0646563429284,-0.0372769577106
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,cross_probability_5,5,30,28,0.0892857142857,0,0.196875
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_5,5,30,28,0.464285714286,0.0714285714286,0.964285714286
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,future_return_10,10,30,28,0.089066209082,0.0201532589234,0.153391951013
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,mae_10,10,30,28,-0.0602071789901,-0.0762478974146,-0.0427532647712
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,cross_probability_10,10,30,28,0.160714285714,0.0357142857143,0.286160714286
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,30,28,0.964285714286,0.214285714286,2.07232142857
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,future_return_20,20,23,22,0.163103446717,0.0275150855463,0.314914488249
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,mae_20,20,23,22,-0.0753139858135,-0.0956874829936,-0.0551888847729
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,cross_probability_20,20,23,22,0.204545454545,0.0681818181818,0.386363636364
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,23,22,2.72727272727,0.635227272727,5.13636363636
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
ENSEMBLE,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_40,40,0,0,,,
