split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
holdout,MODEL_BASE_MISSING,mae_20,20,24,24,-0.122353077225,-0.161919952632,-0.0883427748079
holdout,MODEL_BASE_MISSING,future_volatility_20,20,24,24,0.027841833092,0.0232376318234,0.0332163542038
holdout,MODEL_BASE_MISSING,future_volume_ratio_20,20,24,24,1.10413184367,0.904650617128,1.36128933787
holdout,MODE_COUNT_DISAGREEMENT,model_base_level_spread,0,17,17,0.00251886445687,0.000294117647059,0.00550070366014
holdout,MODE_COUNT_DISAGREEMENT,model_base_mass_cv,0,17,17,0.235447668819,0.173776484935,0.291446560693
holdout,MODE_COUNT_DISAGREEMENT,model_mode_count_range,0,17,17,2.05882352941,1.58823529412,2.70735294118
holdout,MODE_COUNT_DISAGREEMENT,future_chop_10,10,17,17,0.529411764706,0.448529411765,0.617647058824
holdout,MODE_COUNT_DISAGREEMENT,future_return_5,5,17,17,-0.00452819677525,-0.0353297957346,0.0381631541601
holdout,MODE_COUNT_DISAGREEMENT,mfe_5,5,17,17,0.0762624991442,0.0477527609885,0.115213914856
holdout,MODE_COUNT_DISAGREEMENT,mae_5,5,17,17,-0.0628172420429,-0.0836609530792,-0.0456786577104
holdout,MODE_COUNT_DISAGREEMENT,future_volatility_5,5,17,17,0.0256779104256,0.0204444473711,0.0310734288103
holdout,MODE_COUNT_DISAGREEMENT,future_volume_ratio_5,5,17,17,1.59414532034,0.917154665975,2.41408980295
holdout,MODE_COUNT_DISAGREEMENT,future_return_10,10,17,17,-0.0208310445174,-0.0602398085362,0.0322039623701
holdout,MODE_COUNT_DISAGREEMENT,mfe_10,10,17,17,0.0941565418892,0.0622459932997,0.141251302507
holdout,MODE_COUNT_DISAGREEMENT,mae_10,10,17,17,-0.0864729864675,-0.110620665282,-0.0602277958347
holdout,MODE_COUNT_DISAGREEMENT,future_volatility_10,10,17,17,0.0298258250148,0.0251746670149,0.035486879815
holdout,MODE_COUNT_DISAGREEMENT,future_volume_ratio_10,10,17,17,1.36000332511,0.896916699952,1.87688746032
holdout,MODE_COUNT_DISAGREEMENT,future_return_20,20,17,17,-0.00685167182865,-0.0773816263893,0.0628713586997
holdout,MODE_COUNT_DISAGREEMENT,mfe_20,20,17,17,0.124369594044,0.0773713884165,0.193115429833
holdout,MODE_COUNT_DISAGREEMENT,mae_20,20,17,17,-0.108321902087,-0.14133437943,-0.0750114302936
holdout,MODE_COUNT_DISAGREEMENT,future_volatility_20,20,17,17,0.0291217624456,0.0245198482328,0.0343973325953
holdout,MODE_COUNT_DISAGREEMENT,future_volume_ratio_20,20,17,17,1.17375341718,0.832918114195,1.54763272174
holdout,NON_AMBIGUOUS,model_base_level_spread,0,1846,487,0.13392358269,0.118113122525,0.149558731429
holdout,NON_AMBIGUOUS,model_base_mass_cv,0,1846,487,0.300380546648,0.282335068093,0.318665390822
holdout,NON_AMBIGUOUS,model_mode_count_range,0,1853,487,1.2241615332,1.17537217659,1.27686516085
holdout,NON_AMBIGUOUS,future_chop_10,10,1853,487,0.568574606434,0.56073536961,0.577431446783
holdout,NON_AMBIGUOUS,future_return_5,5,1853,487,0.0133611862382,0.0106446272914,0.0167603930919
holdout,NON_AMBIGUOUS,mfe_5,5,1853,487,0.0583123104259,0.0554855759336,0.0614815469363
holdout,NON_AMBIGUOUS,mae_5,5,1853,487,-0.0273732454473,-0.0292381014586,-0.0256008530454
holdout,NON_AMBIGUOUS,future_volatility_5,5,1853,487,0.0216267965565,0.0209300466564,0.0222960941003
holdout,NON_AMBIGUOUS,future_volume_ratio_5,5,1853,487,1.29442583041,1.18248025554,1.47762817859
holdout,NON_AMBIGUOUS,future_return_10,10,1853,487,0.000804536132544,-0.00306886940753,0.00434990334173
holdout,NON_AMBIGUOUS,mfe_10,10,1853,487,0.0767040940987,0.0725921412101,0.0812280130827
holdout,NON_AMBIGUOUS,mae_10,10,1853,487,-0.0493280146421,-0.0517216554737,-0.0469735311772
holdout,NON_AMBIGUOUS,future_volatility_10,10,1853,487,0.0222906379476,0.0216084717263,0.0229432511622
holdout,NON_AMBIGUOUS,future_volume_ratio_10,10,1853,487,1.26216040993,1.17230790293,1.3950259163
holdout,NON_AMBIGUOUS,future_return_20,20,1852,486,-8.79325009172e-05,-0.00658586031643,0.00884135633089
holdout,NON_AMBIGUOUS,mfe_20,20,1852,486,0.10975176571,0.102467090099,0.117614059651
holdout,NON_AMBIGUOUS,mae_20,20,1852,486,-0.0786273032445,-0.081918109217,-0.075111280463
holdout,NON_AMBIGUOUS,future_volatility_20,20,1852,486,0.0232037218451,0.0224152814369,0.0237879879568
holdout,NON_AMBIGUOUS,future_volume_ratio_20,20,1852,486,1.26611860853,1.2212634564,1.31141236157
holdout,TRANSITIONAL_OR_UNRESOLVED,model_base_level_spread,0,2,2,0.0229845601863,0,0.0459691203725
holdout,TRANSITIONAL_OR_UNRESOLVED,model_base_mass_cv,0,2,2,0.139428588038,0.123989247944,0.154867928132
holdout,TRANSITIONAL_OR_UNRESOLVED,model_mode_count_range,0,2,2,0,0,0
holdout,TRANSITIONAL_OR_UNRESOLVED,future_chop_10,10,2,2,0.375,0.25,0.5
holdout,TRANSITIONAL_OR_UNRESOLVED,future_return_5,5,2,2,-0.0843613266089,-0.108242303873,-0.060480349345
holdout,TRANSITIONAL_OR_UNRESOLVED,mfe_5,5,2,2,0.00444768715064,0.00393013100437,0.00496524329692
holdout,TRANSITIONAL_OR_UNRESOLVED,mae_5,5,2,2,-0.0912988989736,-0.109235352532,-0.0733624454148
holdout,TRANSITIONAL_OR_UNRESOLVED,future_volatility_5,5,2,2,0.0151214811521,0.0147151686864,0.0155277936178
holdout,TRANSITIONAL_OR_UNRESOLVED,future_volume_ratio_5,5,2,2,0.875274102376,0.873296495633,0.877251709119
holdout,TRANSITIONAL_OR_UNRESOLVED,future_return_10,10,2,2,-0.0945950399605,-0.11320754717,-0.0759825327511
holdout,TRANSITIONAL_OR_UNRESOLVED,mfe_10,10,2,2,0.00444768715064,0.00393013100437,0.00496524329692
holdout,TRANSITIONAL_OR_UNRESOLVED,mae_10,10,2,2,-0.106529403347,-0.130089374379,-0.0829694323144
holdout,TRANSITIONAL_OR_UNRESOLVED,future_volatility_10,10,2,2,0.0223322942971,0.0156370439602,0.0290275446341
holdout,TRANSITIONAL_OR_UNRESOLVED,future_volume_ratio_10,10,2,2,0.757426957986,0.744202493986,0.770651421987
holdout,TRANSITIONAL_OR_UNRESOLVED,future_return_20,20,2,2,-0.158243821633,-0.161572052402,-0.154915590864
holdout,TRANSITIONAL_OR_UNRESOLVED,mfe_20,20,2,2,0.00444768715064,0.00393013100437,0.00496524329692
holdout,TRANSITIONAL_OR_UNRESOLVED,mae_20,20,2,2,-0.171231076786,-0.174776564052,-0.16768558952
