trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-05-07,SZ_A,NON_ST,1816,400,True
2018-05-08,ALL_A,ALL_STATUS,3050,1000,True
2018-05-08,ALL_A,NON_ST,3004,1000,True
2018-05-08,CHINEXT_BOARD,ALL_STATUS,653,200,True
2018-05-08,CHINEXT_BOARD,NON_ST,653,200,True
2018-05-08,SH_A,ALL_STATUS,1211,400,True
2018-05-08,SH_A,NON_ST,1186,400,True
2018-05-08,SZ_A,ALL_STATUS,1839,400,True
2018-05-08,SZ_A,NON_ST,1818,400,True
2018-05-09,ALL_A,ALL_STATUS,3047,1000,True
2018-05-09,ALL_A,NON_ST,3004,1000,True
2018-05-09,CHINEXT_BOARD,ALL_STATUS,653,200,True
2018-05-09,CHINEXT_BOARD,NON_ST,653,200,True
2018-05-09,SH_A,ALL_STATUS,1211,400,True
2018-05-09,SH_A,NON_ST,1189,400,True
2018-05-09,SZ_A,ALL_STATUS,1836,400,True
2018-05-09,SZ_A,NON_ST,1815,400,True
2018-05-10,ALL_A,ALL_STATUS,3047,1000,True
2018-05-10,ALL_A,NON_ST,3001,1000,True
2018-05-10,CHINEXT_BOARD,ALL_STATUS,651,200,True
2018-05-10,CHINEXT_BOARD,NON_ST,651,200,True
2018-05-10,SH_A,ALL_STATUS,1214,400,True
2018-05-10,SH_A,NON_ST,1189,400,True
2018-05-10,SZ_A,ALL_STATUS,1833,400,True
2018-05-10,SZ_A,NON_ST,1812,400,True
2018-05-11,ALL_A,ALL_STATUS,3050,1000,True
2018-05-11,ALL_A,NON_ST,3003,1000,True
2018-05-11,CHINEXT_BOARD,ALL_STATUS,651,200,True
2018-05-11,CHINEXT_BOARD,NON_ST,651,200,True
2018-05-11,SH_A,ALL_STATUS,1215,400,True
2018-05-11,SH_A,NON_ST,1189,400,True
2018-05-11,SZ_A,ALL_STATUS,1835,400,True
2018-05-11,SZ_A,NON_ST,1814,400,True
2018-05-14,ALL_A,ALL_STATUS,3053,1000,True
2018-05-14,ALL_A,NON_ST,3005,1000,True
2018-05-14,CHINEXT_BOARD,ALL_STATUS,651,200,True
2018-05-14,CHINEXT_BOARD,NON_ST,651,200,True
2018-05-14,SH_A,ALL_STATUS,1213,400,True
2018-05-14,SH_A,NON_ST,1187,400,True
2018-05-14,SZ_A,ALL_STATUS,1840,400,True
2018-05-14,SZ_A,NON_ST,1818,400,True
2018-05-15,ALL_A,ALL_STATUS,3051,1000,True
2018-05-15,ALL_A,NON_ST,3003,1000,True
2018-05-15,CHINEXT_BOARD,ALL_STATUS,652,200,True
2018-05-15,CHINEXT_BOARD,NON_ST,652,200,True
2018-05-15,SH_A,ALL_STATUS,1210,400,True
2018-05-15,SH_A,NON_ST,1184,400,True
2018-05-15,SZ_A,ALL_STATUS,1841,400,True
2018-05-15,SZ_A,NON_ST,1819,400,True
2018-05-16,ALL_A,ALL_STATUS,3054,1000,True
2018-05-16,ALL_A,NON_ST,3005,1000,True
2018-05-16,CHINEXT_BOARD,ALL_STATUS,655,200,True
2018-05-16,CHINEXT_BOARD,NON_ST,655,200,True
2018-05-16,SH_A,ALL_STATUS,1207,400,True
2018-05-16,SH_A,NON_ST,1180,400,True
2018-05-16,SZ_A,ALL_STATUS,1847,400,True
2018-05-16,SZ_A,NON_ST,1825,400,True
2018-05-17,ALL_A,ALL_STATUS,3051,1000,True
2018-05-17,ALL_A,NON_ST,3003,1000,True
2018-05-17,CHINEXT_BOARD,ALL_STATUS,656,200,True
2018-05-17,CHINEXT_BOARD,NON_ST,656,200,True
2018-05-17,SH_A,ALL_STATUS,1201,400,True
2018-05-17,SH_A,NON_ST,1174,400,True
2018-05-17,SZ_A,ALL_STATUS,1850,400,True
2018-05-17,SZ_A,NON_ST,1829,400,True
2018-05-18,ALL_A,ALL_STATUS,3047,1000,True
2018-05-18,ALL_A,NON_ST,2998,1000,True
2018-05-18,CHINEXT_BOARD,ALL_STATUS,655,200,True
2018-05-18,CHINEXT_BOARD,NON_ST,655,200,True
2018-05-18,SH_A,ALL_STATUS,1199,400,True
2018-05-18,SH_A,NON_ST,1171,400,True
2018-05-18,SZ_A,ALL_STATUS,1848,400,True
2018-05-18,SZ_A,NON_ST,1827,400,True
2018-05-21,ALL_A,ALL_STATUS,3038,1000,True
2018-05-21,ALL_A,NON_ST,2989,1000,True
2018-05-21,CHINEXT_BOARD,ALL_STATUS,653,200,True
2018-05-21,CHINEXT_BOARD,NON_ST,653,200,True
2018-05-21,SH_A,ALL_STATUS,1194,400,True
2018-05-21,SH_A,NON_ST,1166,400,True
2018-05-21,SZ_A,ALL_STATUS,1844,400,True
2018-05-21,SZ_A,NON_ST,1823,400,True
2018-05-22,ALL_A,ALL_STATUS,3037,1000,True
2018-05-22,ALL_A,NON_ST,2988,1000,True
